path,orignal_num,filter_num,removed_num,finished
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/y,188525,128257,7,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/z,271550,171388,22,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/d,774185,477310,47,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/9,3528,2107,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/k,326826,203038,39,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/a,2552899,1703823,246,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/r,2249502,1474913,162,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/f,473832,302113,41,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/e,1669174,1064981,148,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/q,35811,23165,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/8,3759,2321,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/e/o,233685,147557,22,True
